,a,b,c,weighted_iron_sum(X),coal_count(Y),Ingots
0,0,0,0,0,0.0,0.0
1,0,0,1,1,0.09027777777777778,0.09027777777777778
2,0,0,2,2,0.18055555555555555,0.18055555555555555
3,0,0,3,3,0.2708333333333333,0.2708333333333333
4,0,0,4,4,0.3611111111111111,0.3611111111111111
5,0,0,5,5,0.4513888888888889,0.4513888888888889
6,0,0,6,6,0.5416666666666666,0.5416666666666666
7,0,0,7,7,0.6319444444444444,0.6319444444444444
8,0,0,8,8,0.7222222222222222,0.7222222222222222
9,0,0,9,9,0.8125,0.8125
10,0,0,10,10,0.9027777777777778,0.9027777777777778
11,0,0,11,11,0.9930555555555556,0.9930555555555556
12,0,0,12,12,1.0833333333333333,1.0833333333333333
13,0,0,13,13,1.1736111111111112,1.1736111111111112
14,0,0,14,14,1.2638888888888888,1.2638888888888888
15,0,0,15,15,1.3541666666666667,1.3541666666666667
16,0,0,16,16,1.4444444444444444,1.4444444444444444
17,0,0,17,17,1.5347222222222223,1.5347222222222223
18,0,0,18,18,1.625,1.625
19,0,0,19,19,1.7152777777777777,1.7152777777777777
20,0,0,20,20,1.8055555555555556,1.8055555555555556
21,0,0,21,21,1.8958333333333333,1.8958333333333333
22,0,0,22,22,1.9861111111111112,1.9861111111111112
23,0,0,23,23,2.076388888888889,2.076388888888889
24,0,0,24,24,2.1666666666666665,2.1666666666666665
25,0,0,25,25,2.2569444444444446,2.2569444444444446
26,0,0,26,26,2.3472222222222223,2.3472222222222223
27,0,0,27,27,2.4375,2.4375
28,0,0,28,28,2.5277777777777777,2.5277777777777777
29,0,0,29,29,2.6180555555555554,2.6180555555555554
30,0,0,30,30,2.7083333333333335,2.7083333333333335
31,0,0,31,31,2.798611111111111,2.798611111111111
32,0,0,32,32,2.888888888888889,2.888888888888889
33,0,0,33,33,2.9791666666666665,2.9791666666666665
34,0,0,34,34,3.0694444444444446,3.0694444444444446
35,0,0,35,35,3.1597222222222223,3.1597222222222223
36,0,0,36,36,3.25,3.25
37,0,0,37,37,3.3402777777777777,3.3402777777777777
38,0,0,38,38,3.4305555555555554,3.4305555555555554
39,0,0,39,39,3.5208333333333335,3.5208333333333335
40,0,0,40,40,3.611111111111111,3.611111111111111
41,0,0,41,41,3.701388888888889,3.701388888888889
42,0,0,42,42,3.7916666666666665,3.7916666666666665
43,0,0,43,43,3.8819444444444446,3.8819444444444446
44,0,0,44,44,3.9722222222222223,3.9722222222222223
45,0,1,0,1,0.2152777777777778,0.2152777777777778
46,0,1,1,2,0.3055555555555556,0.3055555555555556
47,0,1,2,3,0.3958333333333333,0.3958333333333333
48,0,1,3,4,0.4861111111111111,0.4861111111111111
49,0,1,4,5,0.5763888888888888,0.5763888888888888
50,0,1,5,6,0.6666666666666666,0.6666666666666666
51,0,1,6,7,0.7569444444444444,0.7569444444444444
52,0,1,7,8,0.8472222222222222,0.8472222222222222
53,0,1,8,9,0.9375,0.9375
54,0,1,9,10,1.0277777777777777,1.0277777777777777
55,0,1,10,11,1.1180555555555556,1.1180555555555556
56,0,1,11,12,1.2083333333333333,1.2083333333333333
57,0,1,12,13,1.2986111111111112,1.2986111111111112
58,0,1,13,14,1.3888888888888888,1.3888888888888888
59,0,1,14,15,1.4791666666666667,1.4791666666666667
60,0,1,15,16,1.5694444444444444,1.5694444444444444
61,0,1,16,17,1.6597222222222223,1.6597222222222223
